proposalId,priority,huvCode,huvName,targetRuleType,completeness,procedureCodes,diagnosisCodes,proposedFields,officialSources,officialQuotes,existingRelation,qualityFlags,decision,decisionNotes
engine_proposal_53cc05d9fb473883e988996d,A,02.02041,"Enjeksiyon, intramusküler (IM), evde",sure,complete,02.02041,,"{""adet"":3,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""530140"",""surePeriyot"":""G""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Günde üç adetten fazla faturalandırılmaz.,new,,pending,
engine_proposal_af7eac0898fa1da0b95443ba,A,06.11019,Bilgisayarlı dermatoskopi (tüm vücut ben haritasının çıkarılması),sure,complete,06.11019,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""700100"",""surePeriyot"":""G""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Günde bir adet faturalandırılır.,new,official_source_locator_or_quote_missing,pending,
engine_proposal_b2d0a72587e2533a0bf97d1a,A,13.35846,Stres testi+Q tip test,sure,complete,13.35846,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""704530"",""surePeriyot"":""G""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Günde bir adet faturalandırılır.,new,official_source_locator_or_quote_missing,pending,
engine_proposal_f463ff09327e9c1fe8d97231,A,22.15871,Ekstrapramidal sistem muayenesi,sure,complete,22.15871,,"{""adet"":7,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""702790"",""surePeriyot"":""G""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Yedi günde bir adet faturalandırılır.,new,,pending,
engine_proposal_4989dd2cfdb08fdb09d6c028,A,23.87487,"Psikometrik ölçekler (Cümle Tamamlama, Good-Enough, CDI ve BDI gibi Özbildirim ölçekleri) (her bir test)",sure,complete,23.87487,,"{""adet"":1,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""702780"",""surePeriyot"":""Y""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Yılda bir adet faturalandırılır.,new,official_source_locator_or_quote_missing,pending,
engine_proposal_5f967774a1c69841b2bbf83e,A,24.86366,"Multiparametrik prostat MRG, 1.5 Tesla ve üzeri cihazla, yüzeysel sarmal ile",birlikteOdenmez,complete,24.86366|24.80961|24.92001,,"{""evrakBazliMi"":true}",HUV_06052025.xlsx,"Bu işlemle (doğal olarak) birlikte yapılan 24.80961-Difüzyon MR ve 24.92001-MR Dinamik kontrastlı tetkik uygulamaları, işlemin kapsamındadır, ayrıca ücretlenmez. MANYETİK REZONANS GÖRÜNTÜLEME (MR/MRG) - 24.80271: Bir organ/eklem/bölge/alanda yapılan MR incelemesi ile birlikte aynı seansta, aynı/farklı organ/eklem/bölge/alanda MR incelemesi yapılır ise, (incelemenin tümünü kapsayan özel bir tanım yoksa), birimi en büyük olan inceleme biriminin tamamı, sonraki her bir organ, eklem, bölge, alan inceleme biriminin 2/3 ü dikkate alınarak ücretlendirilir. RADYOLOJİ - 24.00001: Radyolojik incelemelerde kullanılan kontrast ilaç ve tıbbi sarf malzeme ücretleri (aksi belirtilmemiş ise) işleme dahil değildir, ayrıca ücretlendirilir. Radyolojik incelemenin değerlendirilmesi, yorumlanması ve raporlandırılması Radyoloji Uzmanı tarafından (mutlaka) yapılmalıdır. Radyoloji uzmanı raporuna adını, diploma ve uzmanlık numarasını yazarak imzalamalıdır. Radyolojik girişimlerde, Genel İlkelerin 00.57882 kod",new,,pending,
engine_proposal_9ff043eb0d676ac7d82bf179,A,24.86423,"Multiparametrik prostat MRG, 1.5 Tesla ve üzeri cihazla, endorektal sarmal ile",birlikteOdenmez,complete,24.86423|24.80961|24.92001,,"{""evrakBazliMi"":true}",HUV_06052025.xlsx,"Bu işlemle (doğal olarak) birlikte yapılan 24.80961-Difüzyon MR ve 24.92001-MR Dinamik kontrastlı tetkik uygulamaları, işlemin kapsamındadır, ayrıca ücretlenmez. MANYETİK REZONANS GÖRÜNTÜLEME (MR/MRG) - 24.80271: Bir organ/eklem/bölge/alanda yapılan MR incelemesi ile birlikte aynı seansta, aynı/farklı organ/eklem/bölge/alanda MR incelemesi yapılır ise, (incelemenin tümünü kapsayan özel bir tanım yoksa), birimi en büyük olan inceleme biriminin tamamı, sonraki her bir organ, eklem, bölge, alan inceleme biriminin 2/3 ü dikkate alınarak ücretlendirilir. RADYOLOJİ - 24.00001: Radyolojik incelemelerde kullanılan kontrast ilaç ve tıbbi sarf malzeme ücretleri (aksi belirtilmemiş ise) işleme dahil değildir, ayrıca ücretlendirilir. Radyolojik incelemenin değerlendirilmesi, yorumlanması ve raporlandırılması Radyoloji Uzmanı tarafından (mutlaka) yapılmalıdır. Radyoloji uzmanı raporuna adını, diploma ve uzmanlık numarasını yazarak imzalamalıdır. Radyolojik girişimlerde, Genel İlkelerin 00.57882 kod",new,,pending,
engine_proposal_e038af40b2b3b6e2738d7218,A,24.86452,"Multiparametrik prostat MRG, 3.0 Tesla ve üzeri cihazla, yüzeysel sarmal ile",birlikteOdenmez,complete,24.86452|24.80961|24.92001,,"{""evrakBazliMi"":true}",HUV_06052025.xlsx,"Bu işlemle (doğal olarak) birlikte yapılan 24.80961-Difüzyon MR ve 24.92001-MR Dinamik kontrastlı tetkik uygulamaları, işlemin kapsamındadır, ayrıca ücretlenmez. MANYETİK REZONANS GÖRÜNTÜLEME (MR/MRG) - 24.80271: Bir organ/eklem/bölge/alanda yapılan MR incelemesi ile birlikte aynı seansta, aynı/farklı organ/eklem/bölge/alanda MR incelemesi yapılır ise, (incelemenin tümünü kapsayan özel bir tanım yoksa), birimi en büyük olan inceleme biriminin tamamı, sonraki her bir organ, eklem, bölge, alan inceleme biriminin 2/3 ü dikkate alınarak ücretlendirilir. RADYOLOJİ - 24.00001: Radyolojik incelemelerde kullanılan kontrast ilaç ve tıbbi sarf malzeme ücretleri (aksi belirtilmemiş ise) işleme dahil değildir, ayrıca ücretlendirilir. Radyolojik incelemenin değerlendirilmesi, yorumlanması ve raporlandırılması Radyoloji Uzmanı tarafından (mutlaka) yapılmalıdır. Radyoloji uzmanı raporuna adını, diploma ve uzmanlık numarasını yazarak imzalamalıdır. Radyolojik girişimlerde, Genel İlkelerin 00.57882 kod",new,,pending,
engine_proposal_c6b66180bcdf9517bcb4c37f,A,24.86466,"Multiparametrik prostat MRG, 3.0 Tesla ve üzeri cihazla, endorektal sarmal ile",birlikteOdenmez,complete,24.86466|24.80961|24.92001,,"{""evrakBazliMi"":true}",HUV_06052025.xlsx,"Bu işlemle (doğal olarak) birlikte yapılan 24.80961-Difüzyon MR ve 24.92001-MR Dinamik kontrastlı tetkik uygulamaları, işlemin kapsamındadır, ayrıca ücretlenmez. MANYETİK REZONANS GÖRÜNTÜLEME (MR/MRG) - 24.80271: Bir organ/eklem/bölge/alanda yapılan MR incelemesi ile birlikte aynı seansta, aynı/farklı organ/eklem/bölge/alanda MR incelemesi yapılır ise, (incelemenin tümünü kapsayan özel bir tanım yoksa), birimi en büyük olan inceleme biriminin tamamı, sonraki her bir organ, eklem, bölge, alan inceleme biriminin 2/3 ü dikkate alınarak ücretlendirilir. RADYOLOJİ - 24.00001: Radyolojik incelemelerde kullanılan kontrast ilaç ve tıbbi sarf malzeme ücretleri (aksi belirtilmemiş ise) işleme dahil değildir, ayrıca ücretlendirilir. Radyolojik incelemenin değerlendirilmesi, yorumlanması ve raporlandırılması Radyoloji Uzmanı tarafından (mutlaka) yapılmalıdır. Radyoloji uzmanı raporuna adını, diploma ve uzmanlık numarasını yazarak imzalamalıdır. Radyolojik girişimlerde, Genel İlkelerin 00.57882 kod",new,,pending,
engine_proposal_2b121ca6fe9856bbee8eda46,A,30.13575,Düşük materyali/Gonad biyopsisinden/diğer solid dokulardan kromozom analizi,sure,complete,30.13575,,"{""adet"":6,""islemlerGrupMu"":false,""periyotDeger"":1,""sourceSutCode"":""G100010"",""surePeriyot"":""M""}",EK-2B HİZMET BAŞI İŞLEM PUAN LİSTESİ (Yür. 02.09.2023).xlsx,Altı ayda bir adet faturalandırılır.,new,,pending,
