"request_id","rank","code","code_type","lookup_status","clinical_theme","review_rows","top3_diagnosis_share","review_reduction_potential","source_risk_level","source_recommended_action","medgemma_status","clinical_plausibility","diagnosis_cohort_safety","mapping_assessment","confidence","eligible_for_human_expert_fast_track","recommended_triage","merged_triage_category","supported_prefixes","prefixes_to_keep_review","missing_evidence","risk_notes","reasoning_summary","human_admin_approval_present","apply_ready","auto_apply"
"rr_medgemma_0001_908115","1","908115","sut_6_digit","present_in_rules_by_sut_code","covid_or_viral_infection","4278","0.66724304","high","medium","expert_review_for_cohort_auto_pass_candidate","completed","plausible","narrow_candidate","not_needed","0.9","True","send_to_expert_priority_1","fast_track_to_human_expert_review","B34;U07;R50;J06;R05","","No specific missing evidence identified for this cohort.","The cohort consists of diagnoses related to viral infections (B34, J06, J02, J18, J12), symptoms/findings (R50, R05, R53), and unspecified conditions (Z00, R50.9, J06.9). While generally plausible for a viral infection context, the specific combination and prevalence require expert validation to ensure appropriate application in the clinical workflow.","The top diagnoses (B34.2, U07.3, R50.9, J06.9, R05) represent common conditions associated with viral infections or their sequelae. The cohort appears clinically focused and narrow enough to warrant expert review for potential fast-tracking. The diagnoses are well-represented in the top results, suggesting a clear signal. No mapping issues are apparent. The diagnoses are plausible in the context of 'covid_or_viral_infection'.","False","False","False"
"rr_medgemma_0002_906620","2","906620","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","3352","0.70268899","high","medium","expert_review_for_cohort_auto_pass_candidate","completed","plausible","narrow_candidate","not_needed","0.95","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R53;R68;Z00;E55;Z33","","No specific missing evidence identified for the top diagnosis prefixes.","The cohort is clinically plausible but requires expert confirmation for policy refinement.;Potential for drift if policy is applied without expert review.","The top diagnosis prefixes (R53, R68, Z00, E55, Z33) represent common obstetric symptoms, findings, and related conditions. This cohort appears narrow and clinically plausible for the procedure code 906620. The high confidence and clinical plausibility support fast-tracking to human expert review for potential policy refinement.","False","False","False"
"rr_medgemma_0003_13_73366","3","13.73366","huv_or_local_dotted","missing_from_runtime_lookup","obstetric_pregnancy","2080","0.76046415","high","high","resolve_local_huv_mapping_then_policy_refinement","completed","plausible","narrow_candidate","mapping_required_first","0.85","False","mapping_backlog_first","mapping_backlog_before_policy","Z33;Z36;Z34;O35","Z33;Z36;Z34;O35","Runtime lookup failed; canonical mapping is unknown.","The top diagnoses are related to pregnancy and postpartum status (Z33, Z36, Z34, O35). These codes are generally considered clinically plausible in an obstetric context. However, the specific code 13.73366 (huv_or_local_dotted) is missing from the runtime lookup, meaning its canonical mapping is unknown. Without knowing the precise ICD-10-CM mapping, it's impossible to definitively assess the clinical coherence or policy implications. Proceeding without mapping could lead to incorrect diagnoses being associated with the code.","The diagnosis distribution (Z33, Z36, Z34, O35) is clinically plausible within the obstetric context. The top diagnoses account for a significant portion (76%) of the review rows. However, the code 13.73366 is missing from the runtime lookup. Therefore, mapping this local/HUV code to a standard ICD-10-CM code is a prerequisite before any review reduction or policy refinement can be considered. The recommended action is to prioritize mapping this code.","False","False","False"
"rr_medgemma_0004_13_62646","4","13.62646","huv_or_local_dotted","missing_from_runtime_lookup","obstetric_pregnancy","10469","0.57977513","medium_high","high","resolve_local_huv_mapping_then_policy_refinement","completed","plausible","conditional_only","mapping_required_first","0.85","False","mapping_backlog_first","mapping_backlog_before_policy","Z33;Z34;O26;E55","Z33;Z34;O26;E55","Runtime lookup failed; canonical mapping is unknown.","The top diagnoses are plausible but broad (Z factors, pregnancy).;The code is missing from runtime lookup, preventing direct policy application.;The distribution is concentrated in Z codes, which may represent status rather than active conditions requiring specific interventions. This needs verification with a canonical mapping.;The high risk level suggests potential impact, making mapping crucial before any review reduction.","The diagnosis distribution is clinically plausible, primarily involving pregnancy-related codes (Z33, Z34, O26) and other status/finding codes (Z factors). However, the code 13.62646 is missing from the runtime lookup, meaning its canonical mapping is unknown. Therefore, direct policy refinement or review reduction is not possible. The recommended action is to prioritize mapping this local/HUV code to a canonical representation. Once mapped, the clinical plausibility can be reassessed with more certainty. The 'conditional_only' safety assessment reflects the need for mapping before proceeding. The high risk level emphasizes the importance of accurate mapping and subsequent review.","False","False","False"
"rr_medgemma_0005_907450","5","907450","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","3544","0.61979522","medium_high","medium","expert_review_for_cohort_auto_pass_candidate","completed","plausible","narrow_candidate","not_needed","0.95","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R53;R68;Z33;Z00;E55","","No specific missing evidence identified for the top diagnosis prefixes.","The cohort is clinically plausible but requires expert confirmation for policy refinement.;Potential for drift if policy is applied without expert review.","The top diagnosis prefixes (R53, R68, Z33, Z00, E55) represent common obstetric symptoms, findings, and related conditions. This cohort appears narrow and clinically plausible for the procedure code 907450. The high confidence and clinical plausibility support fast-tracking to human expert review for potential policy refinement.","False","False","False"
"rr_medgemma_0006_906880","6","906880","sut_6_digit","present_in_rules_by_sut_code","non_specific_symptom_dominant","2522","0.570409","medium_high","medium_high","expert_review_for_conditional_review_refinement","completed","plausible","conditional_only","not_needed","0.9","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R68;R53;Z00;E55;D50","R68;R53;Z00;E55;D50","Specific clinical context for non-specific symptoms;Detailed patient history;Physical examination findings;Laboratory or imaging results","The diagnosis cohort is broad and includes non-specific symptoms. A conditional policy requires careful definition of the narrow cohort.;Potential for misdiagnosis or delayed diagnosis if review is reduced for patients outside the defined narrow cohort.;Need for clear documentation and training on the specific criteria for the narrow cohort.","The clinical theme is non-specific symptom dominant. The top diagnoses are R68, R53, Z00.0, E55.9, D50.9. These are largely symptoms, signs, or general findings. The suggested policy hypothesis is to keep manual review except for a narrow, documented diagnosis cohort (R68, R53, Z00, E55, D50). This approach seems plausible as it targets a specific set of codes while maintaining review for others. The top diagnoses are largely symptoms/findings, making a conditional policy potentially feasible if the narrow cohort is well-defined and clinically justified. The confidence is high due to the clear separation of the top diagnoses into a potential narrow cohort and the remaining broader category. The assessment suggests eligibility for human expert fast-track review.","False","False","False"
"rr_medgemma_0007_24_60491","7","24.60491","huv_or_local_dotted","missing_from_runtime_lookup","obstetric_pregnancy","579","0.55072464","medium_high","medium_high","resolve_local_huv_mapping_then_policy_refinement","completed","plausible","narrow_candidate","mapping_required_first","0.85","False","mapping_backlog_first","mapping_backlog_before_policy","Z33;Z34;O26;O41","Z33;Z34;O26;O41","Runtime lookup failed; canonical mapping is unknown.","The top diagnoses are related to pregnancy and postpartum status (Z33, Z34, O26, O41). These codes are common and generally clinically plausible in obstetric contexts. However, the specific code 24.60491 (huv_or_local_dotted) is missing from the runtime lookup, making it impossible to determine its precise meaning and clinical context without mapping it to a standard code system or definition. This lack of mapping prevents a definitive assessment of clinical plausibility and safety.;The diagnosis distribution is concentrated in 'Z Factors/status' and 'O Pregnancy/childbirth' chapters. While this is consistent with the clinical theme 'obstetric_pregnancy', the specific codes represented by the top diagnoses (Z33, Z34, O26, O41) need to be confirmed via mapping to ensure they align with the intended clinical scenario and do not introduce unintended risks or misinterpretations.;The review reduction potential is flagged as medium_high, but proceeding with review reduction without resolving the mapping issue is unsafe. The uncertainty about the code's meaning prevents accurate triage and could lead to incorrect clinical decisions if the code represents a different condition or status than assumed.","The diagnosis distribution appears clinically coherent within the obstetric pregnancy theme, with a concentration in Z codes related to pregnancy status and O codes for pregnancy/childbirth. However, the code 24.60491 is missing from the runtime lookup. This prevents confirmation of the specific diagnoses represented and their clinical validity. Therefore, mapping this local/HUV code to a canonical system is the necessary first step before any review reduction can be considered. The recommended action is to prioritize mapping this code.","False","False","False"
"rr_medgemma_0008_906640","8","906640","sut_6_digit","present_in_rules_by_sut_code","obstetric_pregnancy","1151","0.51631117","medium","medium","manual_review_policy_observation","completed","plausible","narrow_candidate","not_needed","0.9","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R53;R68;Z33;E55;Z00;R10;N76;N92;Z01","R53;R68;Z33;E55;Z00;R10;N76;N92;Z01","Detailed clinical context for each diagnosis code is missing. Aggregate data provides plausibility but not specific patient scenarios.;Information on the prevalence and severity of these conditions in the target population is not available.;Specific guidelines or standard practices for managing these conditions in the context of the code are not provided.","While the top diagnoses appear plausible for obstetric/pregnancy contexts, the lack of specific clinical context makes it difficult to assess the full risk profile.;The concentration on symptoms/findings (R codes) and factors/status (Z codes) requires careful interpretation. Are these primary diagnoses or secondary findings?;The potential for misinterpretation or inappropriate application exists without detailed clinical context.","The aggregate diagnosis distribution (R53, R68, Z33, E55, Z00, R10, N76, N92, Z01) appears clinically plausible within the obstetric/pregnancy theme. The top diagnoses are concentrated in symptom/finding (R) and factor/status (Z) categories, which is common in this area. The distribution is relatively narrow, suggesting a focused cohort. The confidence is high based on the aggregate data. The mapping assessment is 'not_needed' as the code is present in rules by SUT code. Given the high confidence and narrow cohort, this candidate is eligible for human expert fast-track review.","False","False","False"
"rr_medgemma_0009_906780","9","906780","sut_6_digit","present_in_rules_by_sut_code","non_specific_symptom_dominant","905","0.54371357","medium","medium_high","manual_review_policy_observation","completed","plausible","conditional_only","not_needed","0.85","True","send_to_expert_priority_1","fast_track_to_human_expert_review","R68;R53;E55.9;M25.5;Z00.0;M35.9;M79.1;M06.9;M35.0;M45.9","R68;R53;E55;M25;Z00","Specific context for R68 (Fall/unspecified);Specific context for R53 (Headache);Specific context for E55.9 (Hypothyroidism, unspecified);Specific context for M25.5 (Pain in joint);Specific context for Z00.0 (Encounter for general adult medical examination without abnormal findings);Specific context for M35.9 (Low back pain, unspecified);Specific context for M79.1 (Pain in limb);Specific context for M06.9 (Polymyalgia rheumatica, unspecified);Specific context for M35.0 (Low back pain with radiculopathy);Specific context for M45.9 (Low back pain, unspecified)","Non-specific symptom dominance (clinical_theme) requires careful evaluation.;The top diagnoses are broad symptom/finding codes (R codes) and non-specific musculoskeletal/other codes, which could represent various underlying conditions. Review reduction might miss specific diagnoses.;The diagnosis distribution is spread across multiple chapters, indicating a lack of focus on a specific system or disease category. This makes it harder to assess the overall clinical picture without more context.;The top diagnoses (R68, R53, E55.9, M25.5, Z00.0, M35.9, M79.1, M06.9, M35.0, M45.9) are common and can be associated with a wide range of conditions, some serious. Manual review is needed to ensure appropriate diagnosis and management.;The relatively high entropy (0.6175) suggests a diverse set of diagnoses, potentially making it harder to pinpoint a specific condition without further information.","The clinical theme is non-specific symptom dominant. The top diagnoses are broad codes like R68 (Fall/unspecified), R53 (Headache), E55.9 (Hypothyroidism, unspecified), M25.5 (Pain in joint), Z00.0 (General exam), M35.9 (Low back pain), M79.1 (Limb pain), M06.9 (Polymyalgia rheumatica), M35.0 (Low back pain with radiculopathy), M45.9 (Low back pain). While the aggregate distribution is plausible, the non-specificity of the top codes warrants caution. The diagnosis distribution is broad (multiple chapters). The confidence is high (0.85) based on the aggregate data. The diagnosis cohort safety is considered 'conditional_only' because the broad symptom codes require careful interpretation in context. Mapping assessment is 'not_needed' as the codes are generally well-defined. Given the high confidence and plausible distribution but the need for context due to non-specific symptoms, the recommendation is to send this to a human expert for priority review (eligible_for_human_expert_fast_track=true). The prefixes to keep under manual review (R68, R53, E55, M25, Z00) are those representing the most frequent, but also potentially non-specific, symptom/finding categories.","False","False","False"
"rr_medgemma_0010_700540","10","700540","sut_6_digit","present_in_rules_by_sut_code","non_specific_symptom_dominant","566","0.50408998","medium","medium_high","manual_review_policy_observation","","","","","","False","","response_invalid_manual_review_required","","","","","","False","False","False"
