mapping_priority_order,mapping_priority_tier,rank,code,code_type,clinical_theme,review_rows,top3_diagnosis_share,source_risk_level,review_reduction_potential,supported_prefixes,top_diagnoses,medgemma_confidence,medgemma_reasoning_summary,mapping_question,mapping_status,canonical_sut_code,canonical_procedure_name,source_table_evidence,mapping_confidence,mapping_reviewer,mapping_notes,policy_refinement_allowed_after_mapping,human_admin_approval_present,apply_ready,auto_apply
1,tier_1_extreme_volume_mapping,35,34.36694,huv_or_local_dotted,non_specific_symptom_dominant,77154,0.16751104,high,low,E55;R53;D51;D50,E55.9:20852;R53:12717;D51:8654;D50.9:8385;E55:7816;D51.9:7462;D50:6441;E03.9:5363,0.75,"The diagnosis distribution includes several ICD-10 codes, primarily related to endocrine/metabolic (E), blood/immune (D50-D89), and symptom/finding (R) categories. The top diagnoses (E55.9, R53, D51, D50.9, E55, D51.9, D50, E03.9, E03, R10.4) are somewhat non-specific or cover broad ranges (e.g., E55.9, D51.9). The lookup status is 'missing_from_runtime_lookup', meaning the code is not found in the current runtime system. This prevents assessment of existing policies or rules associated with this code. Therefore, mapping this local/HUV code to a canonical catalog or rule layer is the necessary first step before any policy refinement or review reduction can be considered. The recommended action is to prioritize mapping this code.","34.36694 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (E55, R53, D51, D50) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
2,tier_1_extreme_volume_mapping,36,34.94376,huv_or_local_dotted,non_specific_symptom_dominant,76949,0.1470528,high,low,E55;R53;I10;D51,E55.9:16801;R53:10537;I10:7861;D51:7731;E55:6747;D51.9:6232;D50.9:6114;E03:5544,0.75,"The diagnosis distribution associated with code 34.94376 appears clinically plausible, primarily clustering around endocrine/metabolic (E), symptom/finding (R), blood/immune (D50-D89), respiratory (J), circulatory (I), musculoskeletal (M), digestive (K), and genitourinary (N) conditions. However, the code is identified as 'huv_or_local_dotted' and is missing from the runtime lookup. Therefore, mapping this code to a standard, canonical representation is a prerequisite before any policy refinement or review reduction can be considered. Proceeding without mapping introduces significant risk.","34.94376 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (E55, R53, I10, D51) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
3,tier_1_extreme_volume_mapping,37,34.27332,huv_or_local_dotted,non_specific_symptom_dominant,75792,0.16708209,high,low,E55;D50;R53;D51,E55.9:19448;D50.9:9577;R53:9385;D51:7985;D50:7467;E55:6915;D51.9:6500;R10.4:5169,0.75,"The diagnosis distribution associated with the provided code (34.27332) appears clinically plausible, with top diagnoses including endocrine/metabolic disorders (E55.9, E55, E03), blood/immune disorders (D50.9, D50, D51, D51.9, D64.9), and symptoms/findings (R53, R10.4). However, the code itself is identified as 'huv_or_local_dotted' and is missing from the runtime lookup. Therefore, a canonical mapping to a standard code (e.g., ICD-10) is required before any policy refinement or review reduction can be considered. The recommended action is to prioritize mapping this code.","34.27332 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (E55, D50, R53, D51) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
4,tier_1_high_volume_mapping,4,13.62646,huv_or_local_dotted,obstetric_pregnancy,10469,0.57977513,high,medium_high,Z33;Z34;O26;E55,Z33:6273;Z34:1402;O26.8:730;Z34.8:494;E55.9:328;O26:324;D50:235;Z34.9:224,0.85,"The diagnosis distribution is clinically plausible, primarily involving pregnancy-related codes (Z33, Z34, O26) and other status/finding codes (Z factors). However, the code 13.62646 is missing from the runtime lookup, meaning its canonical mapping is unknown. Therefore, direct policy refinement or review reduction is not possible. The recommended action is to prioritize mapping this local/HUV code to a canonical representation. Once mapped, the clinical plausibility can be reassessed with more certainty. The 'conditional_only' safety assessment reflects the need for mapping before proceeding. The high risk level emphasizes the importance of accurate mapping and subsequent review.","13.62646 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (Z33, Z34, O26, E55) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
5,tier_1_high_volume_mapping,39,34.20386,huv_or_local_dotted,genitourinary,9700,0.34560229,high,low,A09;R11;K52;R10;J06,A09:3197;R11:1344;K52.9:1243;R10.4:1011;J06.9:535;R50.9:410;K52:330;N39.0:325,0.75,"The diagnosis distribution associated with code 34.20386 appears clinically plausible, covering various conditions. However, the runtime lookup is missing, preventing a direct policy assessment. The top diagnoses are diverse, including symptoms and infectious diseases. Given the missing runtime context and the need for a clear canonical mapping to assess policy implications accurately, the recommended action is to prioritize mapping this local/HUV code before considering any review reduction. The diagnosis cohort is broad, suggesting mapping is essential before proceeding.","34.20386 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (A09, R11, K52, R10, J06) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
6,tier_2_medium_volume_mapping,3,13.73366,huv_or_local_dotted,obstetric_pregnancy,2080,0.76046415,high,high,Z33;Z36;Z34;O35,Z33:1419;Z36.3:266;Z36:150;Z34.8:72;O35.8:65;Z34:58;O26.9:40;Z36.4:39,0.85,"The diagnosis distribution (Z33, Z36, Z34, O35) is clinically plausible within the obstetric context. The top diagnoses account for a significant portion (76%) of the review rows. However, the code 13.73366 is missing from the runtime lookup. Therefore, mapping this local/HUV code to a standard ICD-10-CM code is a prerequisite before any review reduction or policy refinement can be considered. The recommended action is to prioritize mapping this code.","13.73366 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (Z33, Z36, Z34, O35) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
7,tier_3_targeted_mapping,7,24.60491,huv_or_local_dotted,obstetric_pregnancy,579,0.55072464,medium_high,medium_high,Z33;Z34;O26;O41,Z33:366;Z34:56;O26.8:34;O41.0:25;Z34.8:24;E55.9:20;O36.5:15;Z35.8:15,0.85,"The diagnosis distribution appears clinically coherent within the obstetric pregnancy theme, with a concentration in Z codes related to pregnancy status and O codes for pregnancy/childbirth. However, the code 24.60491 is missing from the runtime lookup. This prevents confirmation of the specific diagnoses represented and their clinical validity. Therefore, mapping this local/HUV code to a canonical system is the necessary first step before any review reduction can be considered. The recommended action is to prioritize mapping this code.","24.60491 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (Z33, Z34, O26, O41) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
8,tier_3_targeted_mapping,12,13.74706,huv_or_local_dotted,obstetric_pregnancy,482,0.76480541,medium_high,medium,Z33;Z36;Z34,Z33:292;Z36.3:95;Z36:65;Z36.0:48;Z34.8:14;Z36.4:14;O26.8:10;Z34:9,0.85,"The diagnosis distribution is clinically coherent, dominated by Z codes related to pregnancy status (Z33, Z36, Z34). The top diagnoses account for a significant portion (76.5%) of the review rows. However, the code 13.74706 is missing from the runtime lookup. Therefore, direct review reduction is not possible. The recommended action is to first establish the canonical mapping for this local/HUV code before considering policy refinement or review reduction. This approach ensures that the policy accurately reflects the intended clinical context and avoids unintended consequences due to mapping ambiguity.","13.74706 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (Z33, Z36, Z34) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
9,tier_3_targeted_mapping,17,13.06366,huv_or_local_dotted,genitourinary,248,0.54448399,medium_high,medium,N86;R10;N76,N86:138;R10:107;R10.2:61;N76.1:47;N76.0:42;N92.6:15;B07:10;N76:9,0.85,"The diagnosis distribution is clinically plausible, primarily focused on genitourinary symptoms and conditions (N86, R10, N76). However, the code 13.06366 is missing from the runtime lookup, meaning its canonical mapping is unknown. Therefore, review reduction is not recommended before establishing the correct mapping. The recommended action is to prioritize mapping this local/HUV code to a canonical system.","13.06366 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (N86, R10, N76) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
10,tier_3_targeted_mapping,18,13.72696,huv_or_local_dotted,obstetric_pregnancy,243,0.60689655,medium_high,medium,Z33;O26;Z36;Z34,Z33:121;O26.8:36;Z36:19;Z36.0:16;Z34:11;Z34.8:8;Z36.8:7;O26.9:7,0.85,"The diagnosis distribution (Z33, O26, Z36, Z34) is clinically plausible within the obstetric context. However, the provided code (13.72696) is a local/HUV code and is missing from the runtime lookup. Therefore, a canonical mapping is required before policy refinement or review reduction can be considered. The recommended action is to prioritize mapping this code. The risk is medium-high due to the uncertainty introduced by the unmapped code.","13.72696 local/HUV kodunun canonical SUT/procedure karşılığı nedir? Tanı dağılımı (Z33, O26, Z36, Z34) klinik olarak hangi prosedür kimliğine işaret ediyor?",,,,,,,,False,False,False,False
