request_id,priority_order,rank,code,clinical_theme,review_rows,priority_tier,diagnosis_cohort_safety,supported_prefixes_for_expert_review
ai_expert_0001_908115,1,1,908115,covid_or_viral_infection,4278,tier_1_policy_candidate,narrow_candidate,B34;U07;R50;J06;R05
ai_expert_0002_906620,2,2,906620,obstetric_pregnancy,3352,tier_1_policy_candidate,narrow_candidate,R53;R68;Z00;E55;Z33
ai_expert_0003_907450,3,5,907450,obstetric_pregnancy,3544,tier_1_policy_candidate,narrow_candidate,R53;R68;Z33;Z00;E55
ai_expert_0004_906880,4,6,906880,non_specific_symptom_dominant,2522,tier_1_policy_candidate,conditional_only,R68;R53;Z00;E55;D50
ai_expert_0005_801720,5,42,801720,non_specific_symptom_dominant,4169,tier_2_high_volume_conditional,conditional_only,J;R;E;K;M;D50-D89;I;N
ai_expert_0006_803570,6,44,803570,non_specific_symptom_dominant,2612,tier_2_high_volume_conditional,conditional_only,R10;E55;R11;N39;R53;K21;R50;J06;K30;A09
ai_expert_0007_530100,7,45,530100,non_specific_symptom_dominant,2428,tier_2_high_volume_conditional,conditional_only,R07;I10;R00;R11;E55;R06;R10;R53;M79
ai_expert_0008_905670,8,47,905670,non_specific_symptom_dominant,1733,tier_2_high_volume_conditional,conditional_only,J06;J39;J03;E55;J00;J11;R50;R05;J30;R68
ai_expert_0009_906640,9,8,906640,obstetric_pregnancy,1151,tier_2_high_volume_observation_to_expert,narrow_candidate,R53;R68;Z33;E55;Z00;R10;N76;N92;Z01
ai_expert_0010_906780,10,9,906780,non_specific_symptom_dominant,905,tier_3_conditional_or_safety_review,conditional_only,R68;R53;E55.9;M25.5;Z00.0;M35.9;M79.1;M06.9;M35.0;M45.9
ai_expert_0011_700530,11,13,700530,cardiology_symptom_or_monitoring,373,tier_3_conditional_or_safety_review,conditional_only,R07;I10;R06;R00;I25;E55;I49;R10;I20
ai_expert_0012_701230,12,24,701230,non_specific_symptom_dominant,197,tier_3_conditional_or_safety_review,conditional_only,R05;R06;J30;E55;R53;J01;R07;J45;J18
ai_expert_0013_907222,13,27,907222,non_specific_symptom_dominant,180,tier_3_conditional_or_safety_review,conditional_only,Z00;R05;J06;R50;J18
ai_expert_0014_704530,14,15,704530,obstetric_pregnancy,297,tier_4_lower_volume_expert_queue,narrow_candidate,Z33;R10;Z34;N76
ai_expert_0015_703790,15,20,703790,eye_ear,212,tier_4_lower_volume_expert_queue,narrow_candidate,H52;H40;H04;H43;H52.4;H52.0;H47.5;H35.3;H18.3
ai_expert_0016_803710,16,21,803710,obstetric_pregnancy,211,tier_4_lower_volume_expert_queue,conditional_only,Z33;Z34;Z35;R10;E55
ai_expert_0017_907440,17,23,907440,obstetric_pregnancy,199,tier_4_lower_volume_expert_queue,narrow_candidate,R53;Z33;E55;R10;N39;D76;R50;D50;E03;Z34
ai_expert_0018_906610,18,25,906610,obstetric_pregnancy,195,tier_4_lower_volume_expert_queue,narrow_candidate,R53;Z33;E55;D50;E56;Z34;N39.0;J30.2;D76.0
ai_expert_0019_906510,19,30,906510,obstetric_pregnancy,159,tier_4_lower_volume_expert_queue,narrow_candidate,R68;Z00;R53;Z01;B15;E55;G35;E78;B18;Z34
