code,prefix_type,diagnosis_prefix,review_code_rows_with_prefix,share_of_historical_review_code_rows
703790,ai_provisional_approved_prefix,H52,171,0.80660377
703790,ai_provisional_approved_prefix,H40,146,0.68867925
703790,ai_provisional_approved_prefix,H04,61,0.28773585
703790,ai_provisional_approved_prefix,H43,55,0.25943396
703790,ai_provisional_approved_prefix,H52.4,37,0.1745283
703790,ai_provisional_approved_prefix,H52.0,24,0.11320755
703790,ai_provisional_approved_prefix,H47.5,22,0.10377358
703790,ai_provisional_approved_prefix,H35.3,16,0.0754717
703790,ai_provisional_approved_prefix,H18.3,15,0.07075472
907440,ai_provisional_approved_prefix,R53,147,0.73869347
907440,ai_provisional_approved_prefix,Z33,8,0.04020101
907440,ai_provisional_approved_prefix,E55,5,0.02512563
907440,ai_provisional_approved_prefix,R10,4,0.0201005
907440,ai_provisional_approved_prefix,N39,3,0.01507538
907440,manual_review_prefix,R50,3,0.01507538
907440,manual_review_prefix,E03,3,0.01507538
907440,manual_review_prefix,Z34,3,0.01507538
907440,manual_review_prefix,D76,3,0.01507538
907440,manual_review_prefix,D50,2,0.01005025
906510,ai_provisional_approved_prefix,R68,74,0.46540881
906510,ai_provisional_approved_prefix,Z00,44,0.27672956
906510,ai_provisional_approved_prefix,R53,20,0.12578616
906510,ai_provisional_approved_prefix,Z01,5,0.03144654
906510,ai_provisional_approved_prefix,B15,4,0.02515723
906510,manual_review_prefix,E55,4,0.02515723
906510,manual_review_prefix,G35,2,0.01257862
906510,manual_review_prefix,E78,2,0.01257862
906510,manual_review_prefix,B18,1,0.00628931
906510,manual_review_prefix,Z34,1,0.00628931
