code,clinical_theme,review_rows,ai_expert_decision,confidence,confidence_score,validation_status,shadow_staging_allowed_by_ai_only,hold_reason,apply_ready,auto_apply
908115,covid_or_viral_infection,4278,ai_provisional_approve_shadow_staging_specific_prefixes,medium,0.75,error,True,ai_provisional_approval_requires_confidence_at_least_0_85,False,False
906620,obstetric_pregnancy,3352,ai_provisional_conditional_only,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
907450,obstetric_pregnancy,3544,ai_provisional_conditional_only,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
906880,non_specific_symptom_dominant,2522,ai_provisional_conditional_only,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false,False,False
801720,non_specific_symptom_dominant,4169,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
803570,non_specific_symptom_dominant,2612,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
530100,non_specific_symptom_dominant,2428,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
905670,non_specific_symptom_dominant,1733,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
906640,obstetric_pregnancy,1151,ai_provisional_conditional_only,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false,False,False
906780,non_specific_symptom_dominant,905,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
700530,cardiology_symptom_or_monitoring,373,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
701230,non_specific_symptom_dominant,197,ai_provisional_conditional_only,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
907222,non_specific_symptom_dominant,180,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
704530,obstetric_pregnancy,297,ai_provisional_approve_shadow_staging_specific_prefixes,medium,0.75,error,True,ai_provisional_approval_requires_confidence_at_least_0_85,False,False
803710,obstetric_pregnancy,211,ai_keep_manual_review,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false;no_ai_provisional_approved_prefixes,False,False
906610,obstetric_pregnancy,195,ai_provisional_conditional_only,medium,0.75,valid,False,shadow_staging_allowed_by_ai_only_false,False,False
