priority_order,priority_tier,rank,code,code_type,clinical_theme,review_rows,top3_diagnosis_share,review_reduction_potential,source_risk_level,source_recommended_action,medgemma_confidence,diagnosis_cohort_safety,supported_prefixes_for_expert_review,prefixes_medgemma_says_keep_review,top_diagnoses,current_runtime_rule_context,medgemma_missing_evidence,medgemma_risk_notes,medgemma_reasoning_summary,expert_review_question,expert_decision,approved_prefixes_if_any,rejected_prefixes_if_any,official_source_or_committee_reference,expert_reviewer,expert_notes,human_admin_approval_present,shadow_staging_allowed_after_expert_approval,apply_ready,auto_apply
1,tier_1_policy_candidate,1,908115,sut_6_digit,covid_or_viral_infection,4278,0.66724304,high,medium,expert_review_for_cohort_auto_pass_candidate,0.9,narrow_candidate,B34;U07;R50;J06;R05,,B34.2:3148;U07.3:180;R50.9:145;J06.9:120;R05:108;R53:108;J02:77;Z00:73,"{""confidence"": ""medium"", ""diagnosis_policy"": ""conditional"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",No specific missing evidence identified for this cohort.,"The cohort consists of diagnoses related to viral infections (B34, J06, J02, J18, J12), symptoms/findings (R50, R05, R53), and unspecified conditions (Z00, R50.9, J06.9). While generally plausible for a viral infection context, the specific combination and prevalence require expert validation to ensure appropriate application in the clinical workflow.","The top diagnoses (B34.2, U07.3, R50.9, J06.9, R05) represent common conditions associated with viral infections or their sequelae. The cohort appears clinically focused and narrow enough to warrant expert review for potential fast-tracking. The diagnoses are well-represented in the top results, suggesting a clear signal. No mapping issues are apparent. The diagnoses are plausible in the context of 'covid_or_viral_infection'.","Bu işlem kodunda MedGemma'nın desteklediği prefix kohortu (B34, U07, R50, J06, R05) domain expert onayıyla shadow staging adayına dönüştürülebilir mi?",,,,,,,False,False,False,False
2,tier_1_policy_candidate,2,906620,sut_6_digit,obstetric_pregnancy,3352,0.70268899,high,medium,expert_review_for_cohort_auto_pass_candidate,0.95,narrow_candidate,R53;R68;Z00;E55;Z33,,R53:2056;R68:535;Z00.0:179;E55.9:78;Z33:71;R10.4:58;E55:22;T78.4:22,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",No specific missing evidence identified for the top diagnosis prefixes.,The cohort is clinically plausible but requires expert confirmation for policy refinement.;Potential for drift if policy is applied without expert review.,"The top diagnosis prefixes (R53, R68, Z00, E55, Z33) represent common obstetric symptoms, findings, and related conditions. This cohort appears narrow and clinically plausible for the procedure code 906620. The high confidence and clinical plausibility support fast-tracking to human expert review for potential policy refinement.","Bu işlem kodunda MedGemma'nın desteklediği prefix kohortu (R53, R68, Z00, E55, Z33) domain expert onayıyla shadow staging adayına dönüştürülebilir mi?",,,,,,,False,False,False,False
3,tier_1_policy_candidate,5,907450,sut_6_digit,obstetric_pregnancy,3544,0.61979522,medium_high,medium,expert_review_for_cohort_auto_pass_candidate,0.95,narrow_candidate,R53;R68;Z33;Z00;E55,,R53:2073;R68:463;Z33:188;Z00.0:181;E55.9:113;R10.4:65;N76.0:39;N92.6:31,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",No specific missing evidence identified for the top diagnosis prefixes.,The cohort is clinically plausible but requires expert confirmation for policy refinement.;Potential for drift if policy is applied without expert review.,"The top diagnosis prefixes (R53, R68, Z33, Z00, E55) represent common obstetric symptoms, findings, and related conditions. This cohort appears narrow and clinically plausible for the procedure code 907450. The high confidence and clinical plausibility support fast-tracking to human expert review for potential policy refinement.","Bu işlem kodunda MedGemma'nın desteklediği prefix kohortu (R53, R68, Z33, Z00, E55) domain expert onayıyla shadow staging adayına dönüştürülebilir mi?",,,,,,,False,False,False,False
4,tier_1_policy_candidate,6,906880,sut_6_digit,non_specific_symptom_dominant,2522,0.570409,medium_high,medium_high,expert_review_for_conditional_review_refinement,0.9,conditional_only,R68;R53;Z00;E55;D50,R68;R53;Z00;E55;D50,R68:1556;R53:289;Z00.0:233;E55.9:220;D50.9:92;E03.9:65;D51.9:42;D51.8:40,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 1, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",Specific clinical context for non-specific symptoms;Detailed patient history;Physical examination findings;Laboratory or imaging results,The diagnosis cohort is broad and includes non-specific symptoms. A conditional policy requires careful definition of the narrow cohort.;Potential for misdiagnosis or delayed diagnosis if review is reduced for patients outside the defined narrow cohort.;Need for clear documentation and training on the specific criteria for the narrow cohort.,"The clinical theme is non-specific symptom dominant. The top diagnoses are R68, R53, Z00.0, E55.9, D50.9. These are largely symptoms, signs, or general findings. The suggested policy hypothesis is to keep manual review except for a narrow, documented diagnosis cohort (R68, R53, Z00, E55, D50). This approach seems plausible as it targets a specific set of codes while maintaining review for others. The top diagnoses are largely symptoms/findings, making a conditional policy potentially feasible if the narrow cohort is well-defined and clinically justified. The confidence is high due to the clear separation of the top diagnoses into a potential narrow cohort and the remaining broader category. The assessment suggests eligibility for human expert fast-track review.","Bu işlem kodu için yalnızca dar ve belgelenmiş kohortta (R68, R53, Z00, E55, D50) manual REVIEW azaltımı tıbben ve policy açısından uygun olabilir mi? Hangi prefix'ler mutlaka REVIEW kalmalı?",,,,,,,False,False,False,False
5,tier_2_high_volume_conditional,42,801720,sut_6_digit,non_specific_symptom_dominant,4169,0.22147056,low,medium_high,manual_review_policy_observation,0.85,conditional_only,J;R;E;K;M;D50-D89;I;N,R05;J06;R50;J20;J30,R05:730;J06.9:713;R50.9:554;J20:463;J30.2:382;J20.9:372;E55.9:301;R07.4:241,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}","Specific context for symptom dominance (e.g., acute vs. chronic, specific patient population).;Detailed prevalence data for the top diagnoses in the context of non-specific symptoms.;Information on potential comorbidities or differential diagnoses not captured in the top diagnoses.","The 'non_specific_symptom_dominant' theme is broad. While the top diagnoses are plausible, the lack of specificity could lead to misdiagnosis or delayed diagnosis of underlying conditions.;Reliance on symptom codes (R codes) can be problematic due to their non-specificity. Review reduction should be approached cautiously.;The high prevalence of respiratory symptoms (J codes) might be influenced by seasonal factors or environmental conditions, which are not accounted for.;The top diagnoses represent a mix of acute and chronic conditions. The clinical context is crucial for differentiation.","The clinical theme 'non_specific_symptom_dominant' (code 801720) is associated with several plausible diagnoses, including respiratory symptoms (J codes), symptom codes (R codes), and other conditions like E55.9, R50.9, J20, J30.2, J20.9, R07.4, R53, J18.9. The top diagnoses (R05, J06.9, R50.9, J20, J30.2) are clinically relevant given non-specific symptoms. However, the theme itself is broad, and the diagnoses are somewhat heterogeneous. The high confidence (0.85) and the fact that the code is present in the rules support the plausibility. The diagnosis cohort safety is considered 'conditional_only' because the non-specific nature requires careful clinical judgment. The mapping assessment is 'not_needed' as the code is directly linked to the theme. Given the high confidence and plausible diagnoses, the recommendation is to send this to a human expert for priority review (eligible_for_human_expert_fast_track=true). The prefixes to keep under manual review (R05, J06, R50, J20, J30) are those representing the most frequent symptom categories or specific conditions identified within the non-specific symptom theme, requiring expert validation.","Bu işlem kodu için yalnızca dar ve belgelenmiş kohortta (J, R, E, K, M, D50-D89, I, N) manual REVIEW azaltımı tıbben ve policy açısından uygun olabilir mi? Hangi prefix'ler mutlaka REVIEW kalmalı?",,,,,,,False,False,False,False
6,tier_2_high_volume_conditional,44,803570,sut_6_digit,non_specific_symptom_dominant,2612,0.24077181,low,medium_high,manual_review_policy_observation,0.85,conditional_only,R10;E55;R11;N39;R53;K21;R50;J06;K30;A09,R10;E55;R11;N39;R53,R10.4:825;E55.9:368;R11:242;N39.0:195;R53:164;K21:142;R50.9:111;J06.9:110,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}","Specific context for symptom presentation (e.g., duration, severity, associated signs).;Differential diagnoses beyond the top diagnoses listed.;Patient demographics (age, sex, comorbidities) which could influence diagnosis probability.","The top diagnoses are non-specific symptoms or findings (R codes) and conditions with broad symptom overlap (e.g., E55.9, K21).;Reliance on symptom codes increases the risk of misdiagnosis or delayed diagnosis of underlying conditions.;The clinical context is crucial for interpreting these symptoms and determining the appropriate diagnostic pathway. Review reduction without careful consideration could lead to inappropriate care.","The candidate code (803570) maps to a clinical theme dominated by non-specific symptoms. The top diagnoses include several R codes (symptoms/findings) and conditions with vague presentations. While the aggregate data shows a plausible distribution, the lack of specificity in the symptoms makes it difficult to definitively rule out serious underlying conditions without further clinical context. Therefore, while the distribution is plausible, manual review is recommended to ensure appropriate clinical evaluation and prevent potential harm due to reliance on non-specific symptom codes. The high confidence and plausible clinical picture support fast-tracking to a human expert for review.","Bu işlem kodu için yalnızca dar ve belgelenmiş kohortta (R10, E55, R11, N39, R53, K21, R50, J06, K30, A09) manual REVIEW azaltımı tıbben ve policy açısından uygun olabilir mi? Hangi prefix'ler mutlaka REVIEW kalmalı?",,,,,,,False,False,False,False
7,tier_2_high_volume_conditional,45,530100,sut_6_digit,non_specific_symptom_dominant,2428,0.29020333,low,medium_high,manual_review_policy_observation,0.85,conditional_only,R07;I10;R00;R11;E55;R06;R10;R53;M79,R07;I10;R00;R11,R07.4:853;I10:329;R00.2:231;R07.3:176;R11:141;E55.9:138;R06.0:135;R10.4:119,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}","Specific context for R07.4 (e.g., specific type of pain, duration);Specific context for I10 (e.g., type of heart disease, severity);Specific context for R00.2 (e.g., specific type of chest pain, radiation);Specific context for R11 (e.g., specific type of dizziness, cause);Specific context for E55.9 (e.g., specific endocrine disorder, symptoms);Specific context for R06.0 (e.g., specific type of localized edema);Specific context for R10.4 (e.g., specific type of visual disturbance);Specific context for R53 (e.g., specific type of headache);Specific context for M79.1 (e.g., specific type of back pain, location)","The top diagnoses are non-specific symptoms and findings (R codes) and general conditions (I10, E55.9).;Without specific context or associated findings, these codes can be ambiguous and may not represent the underlying cause.;Review reduction could lead to misdiagnosis or delayed treatment if the underlying cause is missed.;The prevalence of symptom codes suggests a need for careful evaluation to differentiate between various potential underlying conditions.","The clinical theme is non-specific symptom dominant. The top diagnoses are primarily symptom codes (R codes) and general conditions like essential hypertension (I10) and unspecified hypothyroidism (E55.9). While the aggregate distribution shows a concentration in symptom codes, the specific context for these symptoms is missing at the aggregate level. The diagnosis cohort is plausible but requires careful interpretation due to the non-specificity. The confidence is high based on the aggregate data. The assessment suggests that while the distribution is plausible, the non-specific nature warrants expert review to ensure appropriate diagnosis and management, especially given the potential for serious underlying conditions masked by general symptoms. Therefore, the recommendation is to send this to an expert for priority review.","Bu işlem kodu için yalnızca dar ve belgelenmiş kohortta (R07, I10, R00, R11, E55, R06, R10, R53, M79) manual REVIEW azaltımı tıbben ve policy açısından uygun olabilir mi? Hangi prefix'ler mutlaka REVIEW kalmalı?",,,,,,,False,False,False,False
8,tier_2_high_volume_conditional,47,905670,sut_6_digit,non_specific_symptom_dominant,1733,0.40892054,low,medium_high,manual_review_policy_observation,0.85,conditional_only,J06;J39;J03;E55;J00;J11;R50;R05;J30;R68,J06;R68;J39;J03;E55,J06.9:602;R68:246;J39.9:243;J03.9:185;E55.9:170;J00:100;J11.1:84;R50.9:74,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}","Specific context for R68 (e.g., fall, injury mechanism);Specific context for J03.9 (e.g., specific upper respiratory infection);Specific context for J39.9 (e.g., specific lower respiratory infection);Specific context for J06.9 (e.g., specific acute upper respiratory infection);Specific context for E55.9 (e.g., specific nutritional deficiency);Specific context for J00 (e.g., specific acute nasopharyngitis);Specific context for J11.1 (e.g., specific influenza);Specific context for R50.9 (e.g., specific headache);Specific context for R05 (e.g., specific cough);Specific context for J30.2 (e.g., specific acute bronchitis)","Non-specific symptom dominance (J06, J39, J03, J00, J11, R50, R05, J30) makes it difficult to rule out serious underlying conditions without further context.;R68 (Other symptoms and signs involving the circulatory and lymphatic systems) is very broad and requires specific context.;E55.9 (Other specific nutritional and metabolic deficiencies) is broad and requires specific context.;The combination of symptoms could represent multiple conditions or a single complex condition.;The top diagnoses are common but require careful evaluation to exclude more serious pathology.","The candidate code (905670) maps to a set of diagnoses dominated by non-specific symptoms (e.g., J06, R68, J39, J03, E55) and common conditions (J00, J11, R50, R05, J30). While the diagnoses are plausible and represent common presentations, the lack of specificity raises concerns about potentially missing serious underlying conditions. The top diagnoses are common respiratory symptoms, circulatory/lymphatic symptoms, and nutritional deficiencies. The clinical plausibility is assessed as 'plausible' given the common nature of these symptoms, but the safety is 'conditional_only' due to the non-specific nature. The confidence is high (0.85) because the mapping is clear and the diagnoses are common. The assessment recommends sending to a human expert for priority review (eligible_for_human_expert_fast_track=true) because while the diagnoses are plausible, the non-specific nature requires expert clinical judgment to ensure appropriate workup and rule out serious conditions. The prefixes J06, R68, J39, J03, and E55 are kept under manual review due to their broad nature and potential for serious underlying causes.","Bu işlem kodu için yalnızca dar ve belgelenmiş kohortta (J06, J39, J03, E55, J00, J11, R50, R05, J30, R68) manual REVIEW azaltımı tıbben ve policy açısından uygun olabilir mi? Hangi prefix'ler mutlaka REVIEW kalmalı?",,,,,,,False,False,False,False
9,tier_2_high_volume_observation_to_expert,8,906640,sut_6_digit,obstetric_pregnancy,1151,0.51631117,medium,medium,manual_review_policy_observation,0.9,narrow_candidate,R53;R68;Z33;E55;Z00;R10;N76;N92;Z01,R53;R68;Z33;E55;Z00;R10;N76;N92;Z01,R53:580;R68:173;Z33:70;E55.9:62;Z00.0:33;R10.4:30;N76.0:25;N92.6:23,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 3, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}",Detailed clinical context for each diagnosis code is missing. Aggregate data provides plausibility but not specific patient scenarios.;Information on the prevalence and severity of these conditions in the target population is not available.;Specific guidelines or standard practices for managing these conditions in the context of the code are not provided.,"While the top diagnoses appear plausible for obstetric/pregnancy contexts, the lack of specific clinical context makes it difficult to assess the full risk profile.;The concentration on symptoms/findings (R codes) and factors/status (Z codes) requires careful interpretation. Are these primary diagnoses or secondary findings?;The potential for misinterpretation or inappropriate application exists without detailed clinical context.","The aggregate diagnosis distribution (R53, R68, Z33, E55, Z00, R10, N76, N92, Z01) appears clinically plausible within the obstetric/pregnancy theme. The top diagnoses are concentrated in symptom/finding (R) and factor/status (Z) categories, which is common in this area. The distribution is relatively narrow, suggesting a focused cohort. The confidence is high based on the aggregate data. The mapping assessment is 'not_needed' as the code is present in rules by SUT code. Given the high confidence and narrow cohort, this candidate is eligible for human expert fast-track review.","Bu işlem kodunda MedGemma'nın desteklediği prefix kohortu (R53, R68, Z33, E55, Z00, R10, N76, N92, Z01) domain expert onayıyla shadow staging adayına dönüştürülebilir mi?",,,,,,,False,False,False,False
10,tier_3_conditional_or_safety_review,9,906780,sut_6_digit,non_specific_symptom_dominant,905,0.54371357,medium,medium_high,manual_review_policy_observation,0.85,conditional_only,R68;R53;E55.9;M25.5;Z00.0;M35.9;M79.1;M06.9;M35.0;M45.9,R68;R53;E55;M25;Z00,R68:303;R53:264;E55.9:86;M25.5:69;Z00.0:34;M35.9:25;M79.1:20;M06.9:18,"{""confidence"": ""medium"", ""diagnosis_policy"": ""review_required"", ""excluded_icd10_patterns_count"": 0, ""present_in_rules_by_sut_code"": true, ""required_icd10_patterns_count"": 0, ""review_required"": true, ""runtime_decision_mode"": ""manual_review""}","Specific context for R68 (Fall/unspecified);Specific context for R53 (Headache);Specific context for E55.9 (Hypothyroidism, unspecified);Specific context for M25.5 (Pain in joint);Specific context for Z00.0 (Encounter for general adult medical examination without abnormal findings);Specific context for M35.9 (Low back pain, unspecified);Specific context for M79.1 (Pain in limb);Specific context for M06.9 (Polymyalgia rheumatica, unspecified);Specific context for M35.0 (Low back pain with radiculopathy);Specific context for M45.9 (Low back pain, unspecified)","Non-specific symptom dominance (clinical_theme) requires careful evaluation.;The top diagnoses are broad symptom/finding codes (R codes) and non-specific musculoskeletal/other codes, which could represent various underlying conditions. Review reduction might miss specific diagnoses.;The diagnosis distribution is spread across multiple chapters, indicating a lack of focus on a specific system or disease category. This makes it harder to assess the overall clinical picture without more context.;The top diagnoses (R68, R53, E55.9, M25.5, Z00.0, M35.9, M79.1, M06.9, M35.0, M45.9) are common and can be associated with a wide range of conditions, some serious. Manual review is needed to ensure appropriate diagnosis and management.;The relatively high entropy (0.6175) suggests a diverse set of diagnoses, potentially making it harder to pinpoint a specific condition without further information.","The clinical theme is non-specific symptom dominant. The top diagnoses are broad codes like R68 (Fall/unspecified), R53 (Headache), E55.9 (Hypothyroidism, unspecified), M25.5 (Pain in joint), Z00.0 (General exam), M35.9 (Low back pain), M79.1 (Limb pain), M06.9 (Polymyalgia rheumatica), M35.0 (Low back pain with radiculopathy), M45.9 (Low back pain). While the aggregate distribution is plausible, the non-specificity of the top codes warrants caution. The diagnosis distribution is broad (multiple chapters). The confidence is high (0.85) based on the aggregate data. The diagnosis cohort safety is considered 'conditional_only' because the broad symptom codes require careful interpretation in context. Mapping assessment is 'not_needed' as the codes are generally well-defined. Given the high confidence and plausible distribution but the need for context due to non-specific symptoms, the recommendation is to send this to a human expert for priority review (eligible_for_human_expert_fast_track=true). The prefixes to keep under manual review (R68, R53, E55, M25, Z00) are those representing the most frequent, but also potentially non-specific, symptom/finding categories.","Bu işlem kodu için yalnızca dar ve belgelenmiş kohortta (R68, R53, E55.9, M25.5, Z00.0, M35.9, M79.1, M06.9, M35.0, M45.9) manual REVIEW azaltımı tıbben ve policy açısından uygun olabilir mi? Hangi prefix'ler mutlaka REVIEW kalmalı?",,,,,,,False,False,False,False
